team_fixture_id,fixture_id,team_id,season_id,competition_id,competition_name,competition_group,fixture_phase,matchday,fixture_date,opponent_team_id,home_or_away,team_score,opponent_score,result_for_team,venue_id,is_home_ground,team_autonomous_region_id,team_autonomous_region_name,team_autonomous_region_slug,opponent_autonomous_region_id,opponent_autonomous_region_name,opponent_autonomous_region_slug,source_url
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_LUGO_v_REAL_AVILES_INDUSTRIAL__CD_LUGO,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_LUGO_v_REAL_AVILES_INDUSTRIAL,CD_LUGO,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,REAL_AVILES_INDUSTRIAL,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_LUGO_v_REAL_AVILES_INDUSTRIAL__REAL_AVILES_INDUSTRIAL,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_LUGO_v_REAL_AVILES_INDUSTRIAL,REAL_AVILES_INDUSTRIAL,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,CD_LUGO,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_BARAKALDO_CF_v_ZAMORA_CF__BARAKALDO_CF,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_BARAKALDO_CF_v_ZAMORA_CF,BARAKALDO_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,ZAMORA_CF,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_BARAKALDO_CF_v_ZAMORA_CF__ZAMORA_CF,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_BARAKALDO_CF_v_ZAMORA_CF,ZAMORA_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,BARAKALDO_CF,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_ARENAS_CLUB_v_CP_CACERENO__ARENAS_CLUB,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_ARENAS_CLUB_v_CP_CACERENO,ARENAS_CLUB,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,CP_CACERENO,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_ARENAS_CLUB_v_CP_CACERENO__CP_CACERENO,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_ARENAS_CLUB_v_CP_CACERENO,CP_CACERENO,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,ARENAS_CLUB,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_SD_PONFERRADINA_v_PONTEVEDRA_CF__SD_PONFERRADINA,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_SD_PONFERRADINA_v_PONTEVEDRA_CF,SD_PONFERRADINA,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,PONTEVEDRA_CF,Home,0,1,L,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_SD_PONFERRADINA_v_PONTEVEDRA_CF__PONTEVEDRA_CF,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_SD_PONFERRADINA_v_PONTEVEDRA_CF,PONTEVEDRA_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,SD_PONFERRADINA,Away,1,0,W,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_TENERIFE_v_AD_MERIDA__CD_TENERIFE,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_TENERIFE_v_AD_MERIDA,CD_TENERIFE,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,AD_MERIDA,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_TENERIFE_v_AD_MERIDA__AD_MERIDA,2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_TENERIFE_v_AD_MERIDA,AD_MERIDA,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,2,2025-09-06,CD_TENERIFE,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296
